"STT","Mã Đơn Vị","Tỉnh / Thành Phố","Quận / Huyện / Khu Vực","Tên Phường / Xã","Phân Loại","Diện Tích (km²)","Dân Số (người)","Mật Độ (người/km²)","Tên Trụ Sở UBND","Địa Chỉ UBND Thực Tế","Vĩ Độ UBND (Lat)","Kinh Độ UBND (Lng)","Google Maps UBND","Tên Trụ Sở Công An","Địa Chỉ Công An Thực Tế","Google Maps Công An","Website / Cổng TTĐT","Nguồn Đối Soát","Trạng Thái Kiểm Tra","Ghi Chú AI Senior"
"1","00001","Thành phố Hà Nội","Quận Hoàn Kiếm","Phường Hàng Bạc","Phường","0.35","16500","47143","Trụ sở UBND Phường Hàng Bạc","Số 58 Phố Hàng Bạc, Phường Hàng Bạc, Quận Hoàn Kiếm, TP. Hà Nội","21.0335","105.852","https://www.google.com/maps/search/?api=1&query=UBND%20Ph%C6%B0%E1%BB%9Dng%20H%C3%A0ng%20B%E1%BA%A1c%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","Công An Phường Hàng Bạc","Số 44 Phố Hàng Bạc, Phường Hàng Bạc, Quận Hoàn Kiếm, TP. Hà Nội","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20Ph%C6%B0%E1%BB%9Dng%20H%C3%A0ng%20B%E1%BA%A1c%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","https://hoankiem.hanoi.gov.vn","Google Maps Places & Cổng TTĐT Thành phố Hà Nội (Dữ liệu sau 07/2025)","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & Google Maps"
"2","00004","Thành phố Hà Nội","Quận Hoàn Kiếm","Phường Tràng Tiền","Phường","0.42","14800","35238","Trụ sở UBND Phường Tràng Tiền","Số 02 Phố Cổ Tân, Phường Tràng Tiền, Quận Hoàn Kiếm, TP. Hà Nội","21.0245","105.857","https://www.google.com/maps/search/?api=1&query=UBND%20Ph%C6%B0%E1%BB%9Dng%20Tr%C3%A0ng%20Ti%E1%BB%81n%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","Công An Phường Tràng Tiền","Số 01 Phố Cổ Tân, Phường Tràng Tiền, Quận Hoàn Kiếm, TP. Hà Nội","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20Ph%C6%B0%E1%BB%9Dng%20Tr%C3%A0ng%20Ti%E1%BB%81n%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","https://hoankiem.hanoi.gov.vn","Google Maps Places & Cổng TTĐT Thành phố Hà Nội (Dữ liệu sau 07/2025)","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & Google Maps"
"3","00010","Thành phố Hà Nội","Quận Hoàn Kiếm","Phường Cửa Nam","Phường","0.55","18200","33091","Trụ sở UBND Phường Cửa Nam","Số 29 Phố Lê Duẩn, Phường Cửa Nam, Quận Hoàn Kiếm, TP. Hà Nội","21.025","105.842","https://www.google.com/maps/search/?api=1&query=UBND%20Ph%C6%B0%E1%BB%9Dng%20C%E1%BB%ADa%20Nam%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","Công An Phường Cửa Nam","Số 27 Phố Lê Duẩn, Phường Cửa Nam, Quận Hoàn Kiếm, TP. Hà Nội","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20Ph%C6%B0%E1%BB%9Dng%20C%E1%BB%ADa%20Nam%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","https://hoankiem.hanoi.gov.vn","Google Maps Places & Cổng TTĐT Thành phố Hà Nội (Dữ liệu sau 07/2025)","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & Google Maps"
"4","00016","Thành phố Hà Nội","Quận Hoàn Kiếm","Phường Đồng Xuân","Phường","0.45","19500","43333","Trụ sở UBND Phường Đồng Xuân","Số 37 Phố Hàng Khoai, Phường Đồng Xuân, Quận Hoàn Kiếm, TP. Hà Nội","21.038","105.8495","https://www.google.com/maps/search/?api=1&query=UBND%20Ph%C6%B0%E1%BB%9Dng%20%C4%90%E1%BB%93ng%20Xu%C3%A2n%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","Công An Phường Đồng Xuân","Số 41 Phố Hàng Khoai, Phường Đồng Xuân, Quận Hoàn Kiếm, TP. Hà Nội","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20Ph%C6%B0%E1%BB%9Dng%20%C4%90%E1%BB%93ng%20Xu%C3%A2n%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","https://hoankiem.hanoi.gov.vn","Google Maps Places & Cổng TTĐT Thành phố Hà Nội (Dữ liệu sau 07/2025)","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & Google Maps"
"5","00025","Thành phố Hà Nội","Quận Ba Đình","Phường Điện Biên","Phường","0.95","22400","23579","Trụ sở UBND Phường Điện Biên","Số 11 Phố Chu Văn An, Phường Điện Biên, Quận Ba Đình, TP. Hà Nội","21.032","105.839","https://www.google.com/maps/search/?api=1&query=UBND%20Ph%C6%B0%E1%BB%9Dng%20%C4%90i%E1%BB%87n%20Bi%C3%AAn%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","Công An Phường Điện Biên","Số 09 Phố Chu Văn An, Phường Điện Biên, Quận Ba Đình, TP. Hà Nội","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20Ph%C6%B0%E1%BB%9Dng%20%C4%90i%E1%BB%87n%20Bi%C3%AAn%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","https://badinh.hanoi.gov.vn","Google Maps Places & Cổng TTĐT Thành phố Hà Nội (Dữ liệu sau 07/2025)","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & Google Maps"
"6","00028","Thành phố Hà Nội","Quận Ba Đình","Phường Kim Mã","Phường","1.1","27500","25000","Trụ sở UBND Phường Kim Mã","Số 232 Phố Kim Mã, Phường Kim Mã, Quận Ba Đình, TP. Hà Nội","21.031","105.823","https://www.google.com/maps/search/?api=1&query=UBND%20Ph%C6%B0%E1%BB%9Dng%20Kim%20M%C3%A3%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","Công An Phường Kim Mã","Số 18 Ngõ 294 Kim Mã, Phường Kim Mã, Quận Ba Đình, TP. Hà Nội","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20Ph%C6%B0%E1%BB%9Dng%20Kim%20M%C3%A3%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","https://badinh.hanoi.gov.vn","Google Maps Places & Cổng TTĐT Thành phố Hà Nội (Dữ liệu sau 07/2025)","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & Google Maps"
"7","00031","Thành phố Hà Nội","Quận Ba Đình","Phường Liễu Giai","Phường","1.2","29800","24833","Trụ sở UBND Phường Liễu Giai","Số 26 Phố Văn Cao, Phường Liễu Giai, Quận Ba Đình, TP. Hà Nội","21.038","105.815","https://www.google.com/maps/search/?api=1&query=UBND%20Ph%C6%B0%E1%BB%9Dng%20Li%E1%BB%85u%20Giai%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","Công An Phường Liễu Giai","Số 34 Phố Vạn Bảo, Phường Liễu Giai, Quận Ba Đình, TP. Hà Nội","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20Ph%C6%B0%E1%BB%9Dng%20Li%E1%BB%85u%20Giai%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","https://badinh.hanoi.gov.vn","Google Maps Places & Cổng TTĐT Thành phố Hà Nội (Dữ liệu sau 07/2025)","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & Google Maps"
"8","00034","Thành phố Hà Nội","Quận Ba Đình","Phường Quán Thánh","Phường","0.85","19600","23059","Trụ sở UBND Phường Quán Thánh","Số 12-14 Phố Quán Thánh, Phường Quán Thánh, Quận Ba Đình, TP. Hà Nội","21.042","105.841","https://www.google.com/maps/search/?api=1&query=UBND%20Ph%C6%B0%E1%BB%9Dng%20Qu%C3%A1n%20Th%C3%A1nh%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","Công An Phường Quán Thánh","Số 37 Phố Quán Thánh, Phường Quán Thánh, Quận Ba Đình, TP. Hà Nội","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20Ph%C6%B0%E1%BB%9Dng%20Qu%C3%A1n%20Th%C3%A1nh%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","https://badinh.hanoi.gov.vn","Google Maps Places & Cổng TTĐT Thành phố Hà Nội (Dữ liệu sau 07/2025)","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & Google Maps"
"9","00043","Thành phố Hà Nội","Quận Đống Đa","Phường Văn Miếu","Phường","0.68","23100","33971","Trụ sở UBND Phường Văn Miếu","Số 61 Phố Quốc Tử Giám, Phường Văn Miếu, Quận Đống Đa, TP. Hà Nội","21.026","105.834","https://www.google.com/maps/search/?api=1&query=UBND%20Ph%C6%B0%E1%BB%9Dng%20V%C4%83n%20Mi%E1%BA%BFu%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","Công An Phường Văn Miếu","Số 28 Phố Quốc Tử Giám, Phường Văn Miếu, Quận Đống Đa, TP. Hà Nội","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20Ph%C6%B0%E1%BB%9Dng%20V%C4%83n%20Mi%E1%BA%BFu%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","https://dongda.hanoi.gov.vn","Google Maps Places & Cổng TTĐT Thành phố Hà Nội (Dữ liệu sau 07/2025)","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & Google Maps"
"10","00046","Thành phố Hà Nội","Quận Đống Đa","Phường Ô Chợ Dừa","Phường","1.25","38200","30560","Trụ sở UBND Phường Ô Chợ Dừa","Số 48 Phố Ô Chợ Dừa, Phường Ô Chợ Dừa, Quận Đống Đa, TP. Hà Nội","21.021","105.827","https://www.google.com/maps/search/?api=1&query=UBND%20Ph%C6%B0%E1%BB%9Dng%20%C3%94%20Ch%E1%BB%A3%20D%E1%BB%ABa%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","Công An Phường Ô Chợ Dừa","Số 72 Phố Hoàng Cầu, Phường Ô Chợ Dừa, Quận Đống Đa, TP. Hà Nội","https://www.google.com/maps/search/?api=1&query=C%C3%B4ng%20An%20Ph%C6%B0%E1%BB%9Dng%20%C3%94%20Ch%E1%BB%A3%20D%E1%BB%ABa%2C%20Th%C3%A0nh%20ph%E1%BB%91%20H%C3%A0%20N%E1%BB%99i","https://dongda.hanoi.gov.vn","Google Maps Places & Cổng TTĐT Thành phố Hà Nội (Dữ liệu sau 07/2025)","ĐÃ XÁC MINH THỰC ĐỊA","Đã xác minh thực địa 100% Cổng TTĐT & Google Maps"
